task_id,task_name,assigned_to,department,priority,status,created_date,due_date,estimated_hours,actual_hours,tags
23,Integrate payment gateway,David,Mobile,Medium,Completed,13-05-2025,20-05-2025,4,4,"alert, frontend"
24,Fix bug in login module,Frank,UI/UX,Medium,Pending,10-07-2025,31-07-2025,4,,alert
25,Optimize database queries,Grace,Mobile,Medium,In Progress,24-06-2025,13-07-2025,15,,"design, alert, feedback"
26,Implement user authentication API,Hannah,QA,Medium,Pending,02-08-2025,09-08-2025,6,,payment
27,Design login page,Eve,UI/UX,Low,In Progress,03-09-2025,15-09-2025,1,,frontend
28,Create marketing landing page,Bob,DevOps,High,In Progress,11-07-2025,23-07-2025,15,,api
29,Setup CI/CD pipeline,Bob,QA,Low,Pending,22-05-2025,23-05-2025,16,,"deployment, design"
30,Analyze user activity data,Hannah,QA,Low,Completed,10-06-2025,30-06-2025,5,4,"design, feedback, testing"
31,Create marketing landing page,David,Backend,High,Pending,14-05-2025,22-05-2025,6,,"testing, optimization"
32,Write unit tests for backend,Eve,Mobile,Low,In Progress,15-04-2025,18-04-2025,1,,integration
33,Prepare deployment scripts,Alice,Data,High,Completed,02-08-2025,03-08-2025,4,3,"testing, backend"
34,Conduct code review,Hannah,Data,Low,Pending,12-10-2025,18-10-2025,5,,"deployment, setup"
35,Fix bug in login module,Carol,DevOps,Medium,Pending,10-06-2025,30-06-2025,11,,"integration, frontend, setup"
36,Implement user authentication API,Bob,Backend,Medium,Completed,12-10-2025,20-10-2025,13,2,db
37,Conduct code review,Carol,Frontend,Medium,In Progress,07-06-2025,09-06-2025,4,,"design, api, optimization"
38,Design login page,Grace,Backend,Medium,In Progress,01-09-2025,15-09-2025,11,,"testing, db, frontend"
39,Fix bug in login module,Alice,Backend,Medium,In Progress,25-06-2025,08-07-2025,3,,"testing, backend"
40,Deploy application to staging,Frank,Mobile,Medium,In Progress,22-06-2025,29-06-2025,14,,"optimization, feedback"
41,Analyze user activity data,Eve,UI/UX,Medium,In Progress,22-06-2025,07-07-2025,7,,"api, optimization, deployment"
42,Design login page,Bob,UI/UX,Medium,Pending,10-08-2025,17-08-2025,4,,"dashboard, feedback"
43,Optimize database queries,Carol,Frontend,Medium,Pending,23-05-2025,01-06-2025,13,,"testing, api"
44,Setup project database,Frank,Data,Medium,Pending,22-07-2025,10-08-2025,10,,setup
45,Implement search functionality,Hannah,Mobile,Medium,Pending,26-09-2025,11-10-2025,16,,feedback
46,Collect user feedback,Carol,Data,Low,In Progress,27-09-2025,10-10-2025,11,,testing
47,Setup CI/CD pipeline,Bob,Data,Low,In Progress,12-06-2025,13-06-2025,13,,dashboard
48,Collect user feedback,Eve,UI/UX,Low,In Progress,13-09-2025,28-09-2025,11,,"testing, feedback"
49,Create marketing landing page,Eve,Frontend,High,Pending,11-07-2025,23-07-2025,12,,"integration, api"
50,Setup project database,David,UI/UX,Low,Completed,20-07-2025,28-07-2025,2,1,"alert, backend"
51,Conduct code review,Alice,UI/UX,Low,Pending,25-04-2025,08-05-2025,8,,frontend
52,Prepare deployment scripts,Hannah,QA,Low,In Progress,12-10-2025,20-10-2025,14,,"deployment, api"
53,Improve page load performance,Frank,Data,High,Completed,27-06-2025,04-07-2025,4,3,"setup, api, testing"
54,Write unit tests for backend,Eve,Frontend,Medium,Pending,17-05-2025,30-05-2025,4,,deployment
55,Create marketing landing page,Bob,Mobile,Low,In Progress,25-08-2025,08-09-2025,3,,"feedback, backend, testing"
56,Enhance security for API,Frank,QA,Medium,In Progress,07-07-2025,12-07-2025,5,,"alert, optimization"
57,Design login page,Frank,Backend,High,In Progress,11-06-2025,12-06-2025,6,,"dashboard, deployment, frontend"
58,Conduct code review,Hannah,Backend,Medium,Pending,18-09-2025,01-10-2025,11,,dashboard
59,Implement user authentication API,Alice,Frontend,Medium,In Progress,29-07-2025,09-08-2025,10,,"frontend, backend"
60,Fix bug in login module,David,Data,Medium,In Progress,19-07-2025,04-08-2025,8,,testing
61,Enhance security for API,Grace,Data,Medium,Pending,05-05-2025,22-05-2025,5,,payment
62,Conduct code review,Hannah,DevOps,High,Pending,20-07-2025,21-07-2025,2,,"design, api, integration"
63,Create marketing landing page,Eve,QA,Medium,In Progress,02-09-2025,09-09-2025,1,,"setup, integration, frontend"
64,Improve page load performance,Eve,QA,Low,In Progress,29-05-2025,05-06-2025,14,,"optimization, deployment, testing"
65,Design login page,Frank,UI/UX,Medium,Pending,10-08-2025,13-08-2025,13,,api
66,Analyze user activity data,Carol,Data,Medium,In Progress,01-07-2025,04-07-2025,12,,"deployment, design, backend"
67,Setup project database,Alice,DevOps,Medium,Pending,15-07-2025,24-07-2025,5,,api
68,Optimize database queries,Bob,DevOps,Medium,In Progress,19-06-2025,23-06-2025,11,,frontend
69,Setup CI/CD pipeline,Frank,QA,Medium,Completed,20-09-2025,29-09-2025,9,8,"deployment, design"
70,Design login page,Bob,Frontend,Low,In Progress,04-07-2025,19-07-2025,3,,setup
71,Improve page load performance,Frank,DevOps,Medium,In Progress,25-08-2025,31-08-2025,11,,"testing, design"
72,Optimize database queries,Bob,UI/UX,High,In Progress,24-07-2025,05-08-2025,5,,"backend, integration"
73,Optimize database queries,Eve,Mobile,Low,In Progress,18-06-2025,22-06-2025,8,,design
74,Integrate payment gateway,Eve,Backend,High,In Progress,08-08-2025,17-08-2025,16,,integration
75,Integrate payment gateway,Carol,Mobile,Medium,Pending,17-04-2025,24-04-2025,5,,"dashboard, payment, testing"
76,Implement user authentication API,Alice,Data,Medium,In Progress,13-05-2025,16-05-2025,13,,"design, db"
77,Design login page,Eve,Mobile,High,Pending,10-06-2025,21-06-2025,4,,"db, testing"
78,Update mobile app UI,David,Mobile,Medium,Completed,06-07-2025,10-07-2025,16,11,"backend, integration"
79,Optimize database queries,Alice,Data,Medium,Pending,23-05-2025,25-05-2025,14,,payment
80,Fix bug in login module,David,UI/UX,Medium,Completed,28-05-2025,09-06-2025,7,5,"deployment, integration, payment"
81,Implement user authentication API,Bob,Frontend,Low,Pending,11-05-2025,15-05-2025,2,,db
82,Setup project database,Grace,Frontend,High,Pending,11-09-2025,19-09-2025,14,,alert
83,Prepare deployment scripts,Alice,UI/UX,Low,Completed,18-09-2025,29-09-2025,4,1,"dashboard, api"
84,Deploy application to staging,Alice,Backend,High,Pending,24-04-2025,25-04-2025,5,,"payment, alert, backend"
85,Develop notification system,Frank,QA,Medium,Pending,01-10-2025,06-10-2025,8,,setup
86,Update mobile app UI,Alice,Mobile,Medium,In Progress,13-09-2025,02-10-2025,1,,"feedback, setup"
87,Design login page,Grace,Data,Low,In Progress,25-07-2025,28-07-2025,12,,"setup, integration"
88,Setup CI/CD pipeline,Bob,Backend,Medium,In Progress,20-08-2025,22-08-2025,1,,"feedback, db, design"
89,Fix bug in login module,Grace,UI/UX,High,In Progress,02-09-2025,08-09-2025,7,,"backend, deployment, integration"
90,Design login page,David,DevOps,Low,In Progress,26-09-2025,02-10-2025,10,,"optimization, api"
91,Design login page,Frank,QA,High,Pending,27-08-2025,28-08-2025,11,,payment
92,Conduct code review,Hannah,QA,High,In Progress,25-06-2025,03-07-2025,14,,api
93,Write unit tests for backend,David,Backend,Low,Pending,20-05-2025,09-06-2025,16,,backend
94,Implement user authentication API,Frank,Mobile,Low,In Progress,08-08-2025,10-08-2025,6,,"design, feedback"
95,Optimize database queries,Hannah,Mobile,Low,Completed,07-08-2025,16-08-2025,14,12,"db, alert, testing"
96,Create dashboard UI,Alice,Backend,Medium,In Progress,17-08-2025,22-08-2025,14,,"setup, frontend, optimization"
97,Improve page load performance,Carol,Data,Medium,In Progress,28-06-2025,12-07-2025,2,,backend
98,Update mobile app UI,David,Data,Low,Pending,13-05-2025,14-05-2025,6,,"payment, integration, optimization"
99,Create marketing landing page,Eve,Backend,High,Pending,28-08-2025,11-09-2025,14,,"setup, testing"
100,Improve page load performance,Alice,Data,Medium,Pending,08-09-2025,17-09-2025,10,,"db, payment, integration"
101,Deploy application to staging,Grace,DevOps,Medium,Pending,14-09-2025,02-10-2025,5,,"dashboard, testing, backend"
102,Enhance security for API,Frank,Backend,High,Completed,23-07-2025,12-08-2025,9,9,"optimization, feedback"
103,Conduct code review,Eve,QA,Low,In Progress,26-09-2025,06-10-2025,9,,"alert, db"
104,Enhance security for API,Eve,Data,Medium,Completed,02-10-2025,15-10-2025,7,4,"integration, payment, api"
105,Write unit tests for backend,David,Frontend,Low,Completed,19-04-2025,21-04-2025,3,2,design
106,Deploy application to staging,Frank,QA,Medium,Completed,14-10-2025,25-10-2025,6,5,"design, payment, feedback"
107,Conduct code review,David,DevOps,High,In Progress,23-05-2025,31-05-2025,6,,"db, alert, frontend"
108,Conduct code review,Grace,Mobile,Medium,In Progress,23-05-2025,01-06-2025,10,,"api, frontend"
109,Analyze user activity data,David,Mobile,Medium,In Progress,23-07-2025,12-08-2025,2,,feedback
110,Analyze user activity data,Frank,Data,High,In Progress,03-09-2025,14-09-2025,1,,frontend
111,Improve page load performance,Carol,QA,Medium,Pending,31-07-2025,01-08-2025,16,,"api, design, alert"
112,Design login page,Alice,Data,Low,Pending,01-10-2025,22-10-2025,5,,frontend
113,Update mobile app UI,Grace,UI/UX,High,Pending,26-09-2025,27-09-2025,1,,"alert, frontend, api"
114,Improve page load performance,Alice,Frontend,High,Pending,12-09-2025,17-09-2025,5,,"setup, frontend, alert"
115,Integrate payment gateway,Hannah,Frontend,High,In Progress,15-06-2025,16-06-2025,4,,"dashboard, testing"
116,Setup project database,Hannah,Frontend,High,Completed,22-08-2025,24-08-2025,6,2,payment
117,Design login page,Hannah,UI/UX,Medium,In Progress,29-06-2025,19-07-2025,15,,"feedback, setup"
118,Prepare deployment scripts,David,UI/UX,Medium,Pending,10-07-2025,15-07-2025,14,,"alert, feedback, dashboard"
119,Collect user feedback,David,Frontend,High,Pending,26-04-2025,05-05-2025,16,,"feedback, testing, optimization"
120,Implement search functionality,David,UI/UX,Low,Completed,30-04-2025,20-05-2025,14,5,feedback
121,Integrate payment gateway,Eve,Backend,Medium,Completed,05-09-2025,15-09-2025,13,1,api
122,Deploy application to staging,Grace,Frontend,High,In Progress,08-05-2025,12-05-2025,4,,"frontend, integration, backend"
123,Integrate payment gateway,Frank,UI/UX,High,Completed,11-08-2025,31-08-2025,9,8,testing
124,Analyze user activity data,Bob,Data,Low,Completed,29-06-2025,08-07-2025,5,4,frontend
125,Improve page load performance,Alice,Backend,Medium,In Progress,26-07-2025,01-08-2025,3,,payment
126,Conduct code review,David,QA,High,Pending,16-07-2025,29-07-2025,16,,"db, payment"
127,Collect user feedback,David,Mobile,Medium,Pending,07-09-2025,16-09-2025,5,,"db, optimization, api"
128,Implement user authentication API,Grace,Data,High,In Progress,12-08-2025,31-08-2025,12,,frontend
129,Integrate payment gateway,Eve,DevOps,Medium,In Progress,17-07-2025,23-07-2025,2,,alert
130,Integrate payment gateway,Frank,QA,Medium,Pending,20-08-2025,29-08-2025,10,,integration
131,Collect user feedback,Bob,QA,High,Pending,01-08-2025,05-08-2025,5,,"dashboard, backend, design"
132,Optimize database queries,Frank,Backend,Medium,Pending,21-04-2025,29-04-2025,12,,backend
133,Design login page,Hannah,DevOps,Medium,Completed,16-06-2025,27-06-2025,3,2,optimization
134,Update mobile app UI,Frank,UI/UX,Medium,In Progress,17-05-2025,29-05-2025,16,,"api, payment, db"
135,Deploy application to staging,Carol,Data,High,In Progress,10-07-2025,22-07-2025,16,,"dashboard, deployment"
136,Update mobile app UI,David,Mobile,Medium,Pending,28-06-2025,04-07-2025,1,,"feedback, db, integration"
137,Create marketing landing page,Bob,Backend,High,Pending,07-08-2025,08-08-2025,10,,"db, dashboard, alert"
138,Setup CI/CD pipeline,Hannah,DevOps,Medium,Pending,27-08-2025,29-08-2025,14,,"optimization, feedback, db"
139,Develop notification system,Grace,DevOps,Medium,In Progress,01-06-2025,02-06-2025,5,,"dashboard, integration"
140,Design login page,Frank,Frontend,High,Pending,21-04-2025,06-05-2025,1,,"frontend, payment, deployment"
141,Setup CI/CD pipeline,Alice,Mobile,High,In Progress,08-09-2025,22-09-2025,13,,backend
142,Analyze user activity data,Grace,Mobile,Medium,In Progress,01-05-2025,06-05-2025,16,,"deployment, payment"
143,Implement search functionality,Grace,DevOps,Low,Pending,28-04-2025,17-05-2025,4,,"testing, feedback"
144,Collect user feedback,Grace,Frontend,Medium,In Progress,16-08-2025,26-08-2025,9,,"payment, testing, dashboard"
145,Implement search functionality,Bob,Data,Low,Pending,12-09-2025,16-09-2025,16,,"optimization, integration"
146,Update mobile app UI,Eve,Frontend,High,Pending,18-09-2025,28-09-2025,2,,"api, deployment"
147,Conduct code review,Bob,Data,High,Pending,19-04-2025,26-04-2025,10,,"backend, db, setup"
148,Update mobile app UI,Alice,Data,Medium,In Progress,29-09-2025,13-10-2025,2,,"testing, optimization, payment"
149,Design login page,Hannah,Frontend,High,Completed,25-07-2025,28-07-2025,14,9,deployment
150,Optimize database queries,Frank,Mobile,Medium,In Progress,25-05-2025,01-06-2025,7,,"setup, frontend"
151,Analyze user activity data,Alice,Data,High,Pending,19-05-2025,08-06-2025,13,,"backend, payment, api"
152,Setup project database,Carol,DevOps,High,Pending,06-06-2025,17-06-2025,7,,"frontend, integration"
153,Develop notification system,Alice,Backend,Low,Pending,27-04-2025,14-05-2025,14,,"integration, backend"
154,Implement search functionality,Alice,Frontend,High,Pending,20-09-2025,09-10-2025,2,,"testing, db, backend"
155,Analyze user activity data,Alice,Mobile,Low,Pending,23-04-2025,04-05-2025,5,,setup
156,Deploy application to staging,Bob,QA,Low,Completed,20-09-2025,02-10-2025,6,1,"api, feedback, alert"
157,Develop notification system,Grace,QA,Medium,In Progress,31-05-2025,21-06-2025,3,,db
158,Create marketing landing page,Eve,QA,Low,Completed,21-08-2025,26-08-2025,14,12,"api, payment, setup"
159,Fix bug in login module,Bob,Mobile,Medium,In Progress,21-08-2025,11-09-2025,2,,"dashboard, integration"
160,Improve page load performance,Bob,Mobile,High,In Progress,13-05-2025,02-06-2025,12,,"feedback, payment"
161,Write unit tests for backend,Frank,Backend,Medium,Completed,09-08-2025,20-08-2025,6,4,"dashboard, testing"
162,Design login page,Frank,Frontend,Medium,In Progress,29-08-2025,08-09-2025,16,,dashboard
163,Create marketing landing page,Carol,DevOps,High,In Progress,18-04-2025,24-04-2025,7,,"integration, frontend, design"
164,Improve page load performance,David,Backend,High,Completed,23-05-2025,03-06-2025,9,6,backend
165,Conduct code review,Eve,Backend,Low,Pending,04-10-2025,11-10-2025,5,,payment
166,Integrate payment gateway,Grace,Data,High,Pending,08-07-2025,23-07-2025,9,,payment
167,Fix bug in login module,Alice,DevOps,High,In Progress,12-08-2025,26-08-2025,14,,backend
168,Implement search functionality,Bob,Data,Medium,Pending,05-07-2025,11-07-2025,13,,"api, optimization"
169,Setup CI/CD pipeline,Grace,Data,Medium,In Progress,09-08-2025,11-08-2025,15,,"api, optimization, payment"
170,Integrate payment gateway,Bob,Data,Low,In Progress,07-07-2025,14-07-2025,9,,"integration, db"
171,Optimize database queries,Bob,DevOps,Medium,In Progress,25-06-2025,04-07-2025,2,,"testing, db"
172,Implement user authentication API,David,QA,Low,In Progress,27-05-2025,10-06-2025,9,,testing
173,Prepare deployment scripts,Carol,Data,Medium,Completed,06-05-2025,25-05-2025,6,1,"api, integration"
174,Implement user authentication API,Alice,DevOps,Medium,In Progress,25-09-2025,12-10-2025,12,,"api, design"
175,Deploy application to staging,Frank,Mobile,Medium,Completed,28-04-2025,13-05-2025,6,4,"setup, payment, api"
176,Write unit tests for backend,Alice,QA,Medium,Completed,03-10-2025,23-10-2025,16,2,payment
177,Create marketing landing page,Frank,UI/UX,Medium,Pending,28-08-2025,12-09-2025,14,,"optimization, backend, api"
178,Setup CI/CD pipeline,Carol,UI/UX,Medium,In Progress,20-08-2025,10-09-2025,10,,"feedback, payment"
179,Integrate payment gateway,Alice,Backend,Medium,In Progress,07-07-2025,18-07-2025,16,,"design, deployment"
180,Analyze user activity data,David,DevOps,Medium,Pending,23-07-2025,24-07-2025,1,,"deployment, setup"
181,Prepare deployment scripts,Frank,Backend,Low,Pending,16-07-2025,23-07-2025,5,,design
182,Prepare deployment scripts,Frank,Data,Medium,In Progress,04-05-2025,05-05-2025,5,,"integration, optimization"
183,Setup project database,Bob,Data,Medium,Pending,10-10-2025,17-10-2025,16,,db
184,Enhance security for API,David,Backend,Low,Pending,27-05-2025,04-06-2025,4,,"payment, backend, design"
185,Prepare deployment scripts,Bob,DevOps,Medium,Completed,01-06-2025,03-06-2025,13,12,"dashboard, backend, alert"
186,Integrate payment gateway,Carol,UI/UX,High,Pending,12-05-2025,31-05-2025,15,,"dashboard, optimization"
187,Fix bug in login module,Carol,UI/UX,Medium,Pending,01-06-2025,11-06-2025,7,,testing
188,Update mobile app UI,Alice,Frontend,High,In Progress,28-08-2025,08-09-2025,1,,"frontend, backend, deployment"
189,Collect user feedback,Grace,DevOps,Low,Completed,03-07-2025,14-07-2025,16,15,"setup, integration, frontend"
190,Setup project database,David,DevOps,High,In Progress,12-10-2025,27-10-2025,16,,"payment, feedback, backend"
191,Collect user feedback,David,Backend,Medium,Pending,07-09-2025,17-09-2025,3,,"dashboard, feedback"
192,Analyze user activity data,Grace,QA,Low,Pending,08-10-2025,09-10-2025,7,,"setup, api"
193,Implement search functionality,Frank,DevOps,Medium,Completed,10-07-2025,31-07-2025,9,7,alert
194,Integrate payment gateway,Frank,Frontend,Medium,In Progress,27-09-2025,10-10-2025,16,,design
195,Design login page,Carol,Frontend,High,Completed,21-08-2025,09-09-2025,14,3,"integration, alert"
196,Integrate payment gateway,Hannah,Mobile,Medium,Completed,22-09-2025,09-10-2025,3,2,"payment, dashboard"
197,Implement search functionality,Frank,Frontend,Medium,In Progress,08-05-2025,12-05-2025,11,,"frontend, optimization, testing"
198,Deploy application to staging,Bob,Backend,Medium,In Progress,20-04-2025,08-05-2025,2,,"testing, db"
199,Prepare deployment scripts,Grace,DevOps,Medium,In Progress,07-05-2025,27-05-2025,7,,design
200,Develop notification system,Bob,Mobile,Medium,Pending,28-06-2025,15-07-2025,4,,"dashboard, frontend"
201,Prepare deployment scripts,Grace,QA,Medium,In Progress,13-06-2025,21-06-2025,5,,"frontend, payment, design"
202,Collect user feedback,Grace,UI/UX,Medium,Completed,02-06-2025,23-06-2025,11,3,optimization
203,Implement user authentication API,Hannah,UI/UX,Medium,Pending,23-09-2025,25-09-2025,8,,"testing, alert"
204,Optimize database queries,Bob,Data,Medium,In Progress,19-06-2025,02-07-2025,1,,"setup, backend, testing"
205,Conduct code review,Hannah,Mobile,Medium,In Progress,31-08-2025,16-09-2025,2,,backend
206,Collect user feedback,Carol,Frontend,High,Pending,13-07-2025,28-07-2025,4,,"deployment, integration, setup"
207,Conduct code review,David,Mobile,Medium,In Progress,02-07-2025,03-07-2025,12,,"design, alert, db"
208,Write unit tests for backend,Eve,Mobile,Medium,Pending,19-06-2025,07-07-2025,3,,alert
209,Implement user authentication API,Alice,UI/UX,Medium,Pending,28-08-2025,09-09-2025,16,,testing
210,Conduct code review,Grace,Data,Medium,Pending,12-07-2025,17-07-2025,8,,optimization
211,Analyze user activity data,Eve,QA,Medium,In Progress,26-05-2025,01-06-2025,4,,"alert, dashboard"
212,Setup CI/CD pipeline,Bob,Frontend,Medium,Pending,13-10-2025,15-10-2025,1,,"backend, api"
213,Fix bug in login module,Frank,QA,Medium,Pending,06-07-2025,21-07-2025,14,,"db, setup, design"
214,Integrate payment gateway,David,Mobile,Medium,Pending,01-06-2025,15-06-2025,11,,"integration, dashboard, db"
215,Conduct code review,Carol,QA,Medium,In Progress,09-07-2025,19-07-2025,14,,"setup, deployment"
216,Setup project database,Bob,UI/UX,Medium,Pending,26-06-2025,09-07-2025,5,,"backend, payment"
217,Create marketing landing page,Hannah,QA,Low,In Progress,27-05-2025,15-06-2025,16,,"optimization, integration"
218,Create marketing landing page,Hannah,UI/UX,High,Pending,25-09-2025,07-10-2025,16,,payment
219,Write unit tests for backend,Frank,UI/UX,Medium,In Progress,28-06-2025,15-07-2025,11,,"payment, api, alert"
220,Integrate payment gateway,Frank,Backend,High,Pending,10-06-2025,14-06-2025,11,,"setup, frontend, api"
221,Enhance security for API,Alice,DevOps,High,Pending,06-10-2025,24-10-2025,9,,alert
222,Deploy application to staging,Frank,QA,High,Pending,04-09-2025,24-09-2025,4,,optimization
223,Develop notification system,Hannah,DevOps,High,In Progress,10-07-2025,18-07-2025,4,,"design, db"
224,Implement search functionality,Hannah,Backend,Low,Pending,02-06-2025,09-06-2025,15,,backend
225,Prepare deployment scripts,Carol,Backend,High,Pending,19-06-2025,29-06-2025,14,,alert
226,Optimize database queries,Carol,QA,Medium,In Progress,18-09-2025,28-09-2025,8,,"payment, backend"
227,Create marketing landing page,Hannah,Mobile,Low,In Progress,23-04-2025,07-05-2025,8,,design
228,Collect user feedback,Grace,UI/UX,Low,In Progress,27-07-2025,05-08-2025,16,,setup
229,Create marketing landing page,David,Frontend,Medium,Pending,30-04-2025,17-05-2025,16,,"deployment, integration, design"
230,Update mobile app UI,Grace,QA,High,In Progress,21-06-2025,03-07-2025,11,,"payment, alert, integration"
231,Conduct code review,Bob,QA,High,Pending,15-05-2025,01-06-2025,2,,frontend
232,Conduct code review,Hannah,UI/UX,Medium,Completed,21-07-2025,11-08-2025,7,5,backend
233,Setup CI/CD pipeline,David,DevOps,Medium,In Progress,13-09-2025,21-09-2025,8,,setup
234,Enhance security for API,Bob,DevOps,High,Completed,23-04-2025,05-05-2025,14,10,feedback
235,Collect user feedback,Hannah,Data,Medium,Completed,14-09-2025,29-09-2025,1,1,"db, dashboard, alert"
236,Enhance security for API,Eve,UI/UX,Low,Pending,08-05-2025,20-05-2025,7,,"frontend, db, setup"
237,Deploy application to staging,Grace,Backend,Low,Pending,01-05-2025,14-05-2025,15,,deployment
238,Prepare deployment scripts,David,Frontend,High,In Progress,19-09-2025,27-09-2025,4,,"testing, integration, payment"
239,Prepare deployment scripts,David,Data,Medium,In Progress,22-07-2025,01-08-2025,4,,"deployment, optimization, design"
240,Prepare deployment scripts,David,UI/UX,Low,In Progress,06-09-2025,13-09-2025,15,,"dashboard, db"
241,Create dashboard UI,Hannah,QA,Medium,In Progress,16-04-2025,25-04-2025,6,,optimization
242,Implement user authentication API,Hannah,DevOps,Medium,In Progress,01-09-2025,17-09-2025,12,,"alert, feedback"
243,Optimize database queries,Alice,DevOps,Low,In Progress,14-07-2025,18-07-2025,7,,"optimization, deployment, payment"
244,Improve page load performance,Hannah,Mobile,Medium,In Progress,22-09-2025,13-10-2025,16,,payment
245,Fix bug in login module,Frank,Frontend,Medium,In Progress,14-06-2025,05-07-2025,4,,"deployment, testing"
246,Write unit tests for backend,Alice,Data,Medium,Completed,30-06-2025,12-07-2025,4,4,"backend, testing, dashboard"
247,Conduct code review,Grace,UI/UX,Medium,Pending,06-05-2025,14-05-2025,12,,"backend, setup, design"
248,Design login page,Grace,Mobile,Low,Pending,30-06-2025,06-07-2025,15,,"payment, optimization, design"
249,Update mobile app UI,Alice,UI/UX,High,Pending,15-08-2025,29-08-2025,10,,frontend
250,Update mobile app UI,Frank,Backend,Low,In Progress,31-08-2025,12-09-2025,13,,"setup, payment"
251,Improve page load performance,Bob,Data,Low,In Progress,04-09-2025,06-09-2025,2,,"integration, dashboard"
252,Improve page load performance,David,QA,Medium,In Progress,24-05-2025,28-05-2025,12,,"dashboard, deployment, setup"
253,Optimize database queries,Grace,UI/UX,Medium,In Progress,01-10-2025,12-10-2025,8,,"optimization, backend"
254,Integrate payment gateway,Eve,QA,High,Pending,24-07-2025,04-08-2025,8,,"frontend, integration"
255,Develop notification system,Carol,DevOps,Medium,In Progress,04-08-2025,05-08-2025,2,,"backend, deployment, feedback"
256,Collect user feedback,David,UI/UX,Medium,Completed,12-06-2025,17-06-2025,4,2,"alert, testing"
257,Collect user feedback,Carol,Backend,High,Completed,04-06-2025,14-06-2025,14,7,dashboard
258,Design login page,David,Frontend,Medium,Pending,08-07-2025,13-07-2025,10,,"setup, design, deployment"
259,Collect user feedback,Frank,Data,Low,In Progress,10-06-2025,21-06-2025,5,,api
260,Improve page load performance,Carol,UI/UX,Medium,In Progress,28-05-2025,08-06-2025,5,,"dashboard, payment"
261,Write unit tests for backend,Hannah,Backend,Medium,In Progress,15-04-2025,01-05-2025,2,,"design, db, payment"
262,Design login page,Eve,QA,High,In Progress,18-04-2025,19-04-2025,15,,"dashboard, design, optimization"
263,Develop notification system,Bob,UI/UX,Medium,Pending,17-09-2025,30-09-2025,5,,"payment, dashboard"
264,Conduct code review,Frank,UI/UX,Medium,Pending,14-07-2025,30-07-2025,12,,alert
265,Conduct code review,David,DevOps,Low,Pending,13-09-2025,23-09-2025,4,,"integration, payment"
266,Write unit tests for backend,Grace,Mobile,Medium,In Progress,07-07-2025,11-07-2025,6,,"optimization, payment, deployment"
267,Write unit tests for backend,Bob,Mobile,High,Pending,21-04-2025,28-04-2025,13,,"api, dashboard, frontend"
268,Implement search functionality,Alice,Mobile,Medium,In Progress,10-07-2025,16-07-2025,2,,backend
269,Create dashboard UI,Frank,QA,High,In Progress,22-08-2025,25-08-2025,16,,"testing, frontend"
270,Optimize database queries,Eve,Backend,High,Completed,02-08-2025,21-08-2025,1,1,"payment, setup"
271,Design login page,Carol,UI/UX,Medium,In Progress,28-06-2025,09-07-2025,12,,"alert, payment, integration"
